periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women,FP Attendance New clients,FP Attendance Re-visits,MOH 711 Adolescent 10-14 yrs Receiving FP Services New clients,MOH 711 Adolescent 10-14 yrs Receiving FP Services Re-visits,MOH 711 Adolescent 15-19 Yrs Receiving FP Services New clients,MOH 711 Adolescent 15-19 Yrs Receiving FP Services Re-visits,MOH 711 Adolescent 20-24 Yrs Receiving FP Services New clients,MOH 711 Adolescent 20-24 Yrs Receiving FP Services Re-visits,MOH 711 Client receiving Male condoms New clients,MOH 711 Client receiving Male condoms Re-visits,MOH 711 Clients Counselled Natural Family Planning New clients,MOH 711 Clients Counselled Natural Family Planning Re-visits,MOH 711 Clients receiving Female Condoms New clients,MOH 711 Clients receiving Female Condoms Re-visits,MOH 711 Emergency contraceptive pill New clients,MOH 711 Emergency contraceptive pill Re-visits,MOH 711 Pills Combined oral contraceptive New clients,MOH 711 Pills Combined oral contraceptive Re-visits,MOH 711 Pills progestin only New clients,MOH 711 Pills progestin only Re-visits,MOH 711 Rev 2020_Adults 25+ receiving FP Services New clients,MOH 711 Rev 2020_Adults 25+ receiving FP Services Re-visits,MOH 711 Rev 2020_Clients given cycle beads New clients,MOH 711 Rev 2020_Clients given cycle beads Re-visits,MOH 711 Rev 2020_Clients receiving post abortion FP New clients,MOH 711 Rev 2020_Clients receiving post abortion FP Re-visits,MOH 711 Rev 2020_FP Injections DMPA- IM New clients,MOH 711 Rev 2020_FP Injections DMPA- IM Re-visits,MOH 711 Rev 2020_FP Injections DMPA- SC New clients,MOH 711 Rev 2020_FP Injections DMPA- SC Re-visits,MOH 711 Rev 2020_IUCD Insertion Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Hormonal Re-insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Ist Time Insertion,MOH 711 Rev 2020_IUCD Insertion Non Hormonal Re-insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 1 Rod Re-insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Ist Time Insertion,MOH 711 Rev 2020_Implants insertion 2 Rod Re-insertion,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks New clients,MOH 711 Rev 2020_Post parturm FP 4weeks to 6weeks Re-visits,MOH 711 Rev 2020_Post parturm FP within 48 Hours New clients,MOH 711 Rev 2020_Post parturm FP within 48 Hours Re-visits,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Ist Time Insertion,MOH 711 Rev 2020_Voluntary Surgical Contraception Vasectomy Re-insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Ist Time Insertion,MOH 711 Rev 2020_Voluntary surgical contraception BTL Re-insertion,Population Growth Rate,Total Population,Women of childbearing age (15–49yrs)
2019Q2,April - June 2019,2019Q2,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,29046.42,2402,3143,22,16,395,191,658,538,3686,515,3,,90,27,171,41,606,594,190,112,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,772181.43,187683.8
2019Q2,April - June 2019,2019Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,13732.38,2075,1427,74,40,140,47,362,139,1369,13,,,,,61,6,190,150,65,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,325069.4,74575.68
2020Q2,April - June 2020,2020Q2,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4847,1636,2871,6,,111,95,429,625,640,3,1,,4,,24,10,328,542,96,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,148523,33620
2020Q2,April - June 2020,2020Q2,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13640,4488,22340,26,26,356,481,1248,3064,406,121,,,36,19,169,61,1210,6962,923,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,622651,165992
2020Q2,April - June 2020,2020Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,15757,1959,1073,3,,121,33,334,104,747,89,60,,3,3,46,20,223,111,35,7,,,,,,,29,34,,,,,5,,14,,18,,,,,,,,,,,475473,104014
2020Q2,April - June 2020,2020Q2,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,20752,12636,15266,176,89,2869,1154,3440,3493,3861,681,395,,236,137,270,233,1319,1383,338,218,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,621080,157257
2021Q2,April - June 2021,2021Q2,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,40190.89,13486,13569,67,14,3672,890,2676,2649,2389,3270,671,,148,29,303,166,1160,1018,577,321,4366,6675,6,,70,,2873,5728,55,149,65,55,413,165,2666,493,4133,977,810,7,96,10,,,73,,2.83,1337575.41,315643.22
2021Q2,April - June 2021,2021Q2,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,61597.24,15055,32672,71,60,2465,2032,4478,8004,3632,2189,1099,,123,186,300,393,1822,2737,781,1140,6073,18676,4,,356,1,3981,18708,114,285,12,9,195,66,858,293,6906,3063,2160,30,255,60,37,,14,,3.2,1782690.92,420402.21
2021Q2,April - June 2021,2021Q2,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,39966.5,12840,24174,12,1,2004,1065,4768,6284,2198,2444,1202,,103,35,1027,185,2222,4791,655,798,5836,15253,5,,60,2,3958,14109,108,143,87,38,567,193,2361,757,2820,1021,1081,108,128,82,,,2,,,1281155.98,374436.15
2021Q2,April - June 2021,2021Q2,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,44212.87,1849,1508,1,,123,75,433,395,204,80,903,,7,,35,2,306,201,214,137,743,709,52,,1,2,914,1203,42,14,2,,33,,100,14,128,22,189,,221,,,,,,3.5,1246815.07,281218.54
2021Q2,April - June 2021,2021Q2,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,17996.69,4777,21457,6,5,242,244,1050,2584,1552,1036,115,,8,27,391,120,1450,5828,795,1323,2381,13322,,,185,6,1515,9819,61,171,36,40,497,294,94,72,726,419,978,22,542,,,,58,,1.7,791032.79,198788.37
2021Q2,April - June 2021,2021Q2,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,15885.48,3833,21425,3,3,350,561,1034,3638,165,99,170,,7,11,122,21,851,3977,732,657,1434,15210,,,77,,1496,12058,45,210,22,15,246,114,447,169,931,449,739,16,19,9,,,12,,,635906.79,162887.73
2021Q2,April - June 2021,2021Q2,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,29436.35,5432,14070,16,4,1935,1947,1208,3747,455,1432,822,,25,7,33,36,1204,1369,399,290,1577,8801,4,,37,,1432,4298,65,90,31,6,529,207,1617,760,3956,1733,556,,32,2,1,,24,,3.4,946510.82,230041.75
2021Q2,April - June 2021,2021Q2,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,36025.3,6448,15528,12,2,751,683,2179,3585,930,761,778,,52,79,97,194,1281,1622,457,260,3348,7956,36,,23,,4751,11016,43,100,39,3,32,7,1130,404,936,342,607,3,56,60,,,8,,,931734.3,221073.32
2021Q2,April - June 2021,2021Q2,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,34509.45,11472,25009,5,2,804,625,1553,3897,417,2784,1332,,109,304,219,146,1166,2476,266,342,2207,16052,5,,33,,2219,17432,20,91,22,15,137,101,619,343,2314,1328,545,2,284,175,,,69,,2.35,1197692.65,296045.92
2021Q2,April - June 2021,2021Q2,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,17413.29,4002,10709,14,5,388,334,1167,2017,665,269,359,,16,6,60,,778,2459,466,488,2037,7574,1,,50,,1410,5694,16,104,39,16,263,122,533,167,879,284,736,10,29,,,,14,,2.9,551644.64,132340.42
2021Q2,April - June 2021,2021Q2,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,41078.46,13391,15672,112,39,4800,1838,2768,3598,1467,1691,1215,,102,12,104,200,1261,1236,547,464,3594,93203,9,,29,2,3557,8534,78,224,73,24,373,46,3582,990,3498,1185,751,11,231,83,10,,57,,,1201314.73,286314.58
2021Q2,April - June 2021,2021Q2,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,12734.11,1892,3656,8,5,323,246,607,1004,242,55,211,,7,1,191,96,151,201,126,60,567,1840,,,10,4,1118,2785,32,75,1,,19,5,321,91,279,60,113,,3,,,,,,3,328326.48,70315.36
2021Q2,April - June 2021,2021Q2,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,13881.97,2807,21546,3,58,265,545,956,3652,210,246,131,,6,17,71,74,711,7735,825,1610,1285,15344,,,90,,560,7011,6,40,11,5,443,185,193,100,1633,752,1267,35,82,183,,,3,,1.52,633759.67,168954.11
2021Q2,April - June 2021,2021Q2,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4982.35,1240,1534,1,,78,70,327,431,455,137,124,,1,1,26,87,515,726,123,89,496,935,26,,,,358,705,3,1,19,7,6,1,119,23,392,112,19,,,,,,1,,2.5,152669.73,34558.32
2021Q2,April - June 2021,2021Q2,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,13030.3,1265,2108,2,,196,126,550,902,186,124,243,,20,,16,,233,254,113,81,633,1374,,,4,,741,1746,10,12,16,14,31,23,341,88,219,59,82,,8,2,,,,,,339275.48,81248.4
2021Q2,April - June 2021,2021Q2,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,31717.1,980,678,4,,20,4,116,67,325,50,860,,31,,33,11,607,323,323,132,141,72,,,,,614,305,16,4,10,1,1,,279,15,94,19,4,,21,,,,,,3,926420.86,183269.89
2022Q2,April - June 2022,2022Q2,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,17279.66,4313,11646,1,,284,392,1301,2129,890,405,98,,15,3,247,,1099,2662,414,275,2504,7174,2,,4,,1462,5950,40,91,17,,401,189,82,10,936,282,2028,9,63,60,1,,,,1.11,681208.67,168990.01
2022Q2,April - June 2022,2022Q2,,Kenya,Tana River County,JsH2bnvNt2d,Tana River County,KE_County_4,,11780.72,1160,2893,3,1,150,206,484,972,667,129,392,,9,9,6,,147,318,76,48,626,1747,19,,5,,717,2593,2,2,12,,31,5,56,17,299,169,53,,3,3,,,,,,351926.82,84278.1
2022Q2,April - June 2022,2022Q2,,Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,50873.62,15867,28214,213,82,6185,2741,4054,7340,2034,1057,3561,,105,91,200,,574,1029,398,282,4270,14373,104,,110,,5661,15217,51,56,61,27,812,198,1862,499,6817,3890,1943,65,738,186,,,79,,1.04,1248621.12,292121.67
2022Q2,April - June 2022,2022Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,16724.18,1784,1515,1,,48,33,223,242,57,16,106,,,,4,,208,139,43,43,472,561,3,,,,444,813,3,8,1,,1,,178,23,14,3,13,,28,17,,,,,3,504704.25,110406.52
2022Q2,April - June 2022,2022Q2,,Kenya,Busia County,Tvf1zgVZ0K4,Busia County,KE_County_40,,30323.92,4532,13506,10,3,1751,744,1164,3152,100,262,779,,1,6,17,,650,942,389,419,1158,8944,9,,55,,1744,4503,73,189,32,11,390,118,842,361,3995,1919,594,3,104,102,1,,98,,2.36,975359.78,236979.74
2022Q2,April - June 2022,2022Q2,,Kenya,Muranga County,ahwTMNAJvrL,Muranga County,KE_County_21,,26880.36,6397,14930,8,9,359,345,1428,2439,625,235,56,,20,,304,,2314,6024,937,961,3084,9228,,,6,,715,2974,34,102,35,44,351,160,1501,643,1194,761,1062,12,171,101,,,15,,,1126401.97,268007.73
2022Q2,April - June 2022,2022Q2,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,22449.49,11756,27773,60,16,2472,2089,7461,6182,2300,1537,1615,,112,169,233,,1130,1612,481,421,4851,17209,12,,72,,5722,22643,167,681,13,2,275,25,839,220,1940,824,3320,14,136,2,,,21,,2.1,660281.01,165070.75
2022Q2,April - June 2022,2022Q2,,Kenya,Bomet County,HMNARUV2CW4,Bomet County,KE_County_36,,29363.55,5440,18461,3,6,572,872,1660,4450,1641,1671,1088,,,,41,,656,637,274,648,4827,5076,,,4,,3323,15653,9,75,33,2,100,1,225,47,2057,837,137,57,30,,,,19,,2.58,953357.06,236320.55
2022Q2,April - June 2022,2022Q2,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,24916.73,6094,29523,2,3,406,636,1518,4933,465,447,638,,21,8,233,,1899,4994,126,301,3344,21994,2,,64,,2692,21060,13,80,40,21,183,85,23,23,1472,1251,1014,19,193,72,,,61,,1.2,1050834,243022.19
2022Q2,April - June 2022,2022Q2,,Kenya,Isiolo County,bzOfj0iwfDH,Isiolo County,KE_County_11,,7007.8,1585,1611,11,1,139,75,443,507,446,267,471,,4,6,13,,237,413,108,52,596,1206,,,,,245,730,,,,,24,3,646,182,79,21,134,156,12,,,,,,2.37,279967.96,64119.33
2022Q2,April - June 2022,2022Q2,,Kenya,Uasin Gishu County,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,40117.09,9338,25602,8,2,627,642,2431,4734,468,147,1854,,62,2,90,,1702,2908,640,422,4771,15017,21,,58,,4869,16048,93,182,100,47,517,174,480,158,2981,1583,1608,45,271,33,,,16,,,1270721.57,345876.39
2022Q2,April - June 2022,2022Q2,,Kenya,Baringo County,vvOK1BxTbet,Baringo County,KE_County_30,,24196.71,4033,7803,34,12,424,252,978,1444,1257,1793,243,,87,23,165,,604,710,212,212,1421,3689,19,,7,,1116,4186,37,74,23,10,88,23,1552,661,371,274,385,6,169,25,,,1,,2.85,730362.01,166322.32
2022Q2,April - June 2022,2022Q2,,Kenya,Nairobi County,jkG3zaihdSs,Nairobi County,KE_County_47,,164039.58,31442,68383,25,25,4169,5241,9073,15352,6339,8136,4117,,938,1412,1147,,10980,23951,3887,3454,15656,40514,26,,452,2,9332,19262,1378,1557,136,74,2995,1220,1828,544,9511,4002,7317,480,819,326,13,,62,,,4837502.57,1555390.66
2022Q2,April - June 2022,2022Q2,,Kenya,Trans Nzoia County,mThvosEflAU,Trans Nzoia County,KE_County_26,,33439.39,10131,22351,11,3,1085,990,3058,4416,1363,1562,2280,,66,14,210,,1350,1779,424,281,5278,12124,1,,106,3,4722,13684,42,80,25,10,313,29,394,127,2438,785,976,6,367,2,2,,,,2.97,1081642.6,260225.05
2022Q2,April - June 2022,2022Q2,,Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,17946.83,4810,11248,17,15,539,417,1409,2288,1089,2393,354,,14,9,35,,681,2356,167,162,2215,8174,,,20,,1683,6904,26,79,14,,158,103,346,160,909,393,578,4,20,14,,,10,,,568550.33,136397.31
2022Q2,April - June 2022,2022Q2,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,35474.81,6538,29580,11,5,702,852,1510,5336,703,290,368,,40,9,160,,984,2708,528,455,2193,19552,1,,45,1,2547,22603,164,201,63,90,85,179,143,109,2196,1388,682,17,244,223,,,64,,2.05,1231194.86,304326.23
2022Q2,April - June 2022,2022Q2,,Kenya,Samburu County,o36zCRjSd4G,Samburu County,KE_County_25,,13117.06,1868,2765,16,7,264,255,526,865,248,19,249,,4,1,99,,210,367,42,49,624,1721,1,,4,6,672,1905,24,94,,,19,7,826,163,222,35,48,,9,1,,,,,3,338176.49,72425.57
2022Q2,April - June 2022,2022Q2,,Kenya,Kirinyaga County,Ulj33KBau7V,Kirinyaga County,KE_County_20,,14178.16,3129,25714,21,21,354,847,864,4567,184,247,149,,15,37,103,,884,7721,645,1621,1420,17728,1,,94,,1125,12085,2,1,18,61,381,130,96,51,1373,675,1304,20,109,99,,,,,,647238.74,172547.27
2022Q2,April - June 2022,2022Q2,,Kenya,Kericho County,ihZsJ8alvtb,Kericho County,KE_County_35,,29345.6,6767,9127,66,27,654,480,1498,1169,314,252,449,,37,6,121,,1378,1052,742,495,2994,1123,,,17,9,485,1169,296,347,60,9,165,78,578,176,2428,1045,276,7,32,7,2,,12,,2.5,983051.71,249061.64
2022Q2,April - June 2022,2022Q2,,Kenya,Garissa County,uyOrcHZBpW0,Garissa County,KE_County_7,,43718.22,1606,1690,3,1,128,102,494,464,505,108,342,,6,7,11,,434,336,138,62,786,862,18,,,,753,1472,18,14,,6,27,1,68,3,181,26,57,2,70,3,,,8,,3.5,1250701.42,280355.9
2022Q2,April - June 2022,2022Q2,,Kenya,Nyeri County,ptWVfaCIdVx,Nyeri County,KE_County_19,,18380.64,6607,18157,2,1,173,210,916,2594,646,724,67,,58,83,325,4,813,3494,247,505,1617,11753,,,88,6,1625,10151,24,51,25,23,479,186,155,69,243,117,730,10,108,11,1,,52,,1.7,807981.35,203046.71
2022Q2,April - June 2022,2022Q2,,Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,48453.25,10356,16552,42,14,1018,670,2753,3048,2571,529,692,,198,327,422,,1750,2511,476,467,4400,10846,2,,101,,4220,11376,98,275,81,24,283,103,533,216,3225,972,717,45,150,40,4,,28,,2.1,1665724.37,424750.3
2022Q2,April - June 2022,2022Q2,,Kenya,Bungoma County,KGHhQ5GLd4k,Bungoma County,KE_County_39,,63743.36,14075,37625,48,14,2052,2441,3683,8883,1640,2186,1008,,67,51,308,,2134,3873,385,481,5512,22299,13,,672,,3933,21031,56,569,12,12,246,91,1306,299,6545,3365,2667,18,621,21,,,24,,2.98,1842494.07,434493.61
2022Q2,April - June 2022,2022Q2,,Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,41177.19,13962,23167,35,31,3961,3435,3585,4747,651,1026,1740,,49,12,820,,4286,7762,1018,839,5584,14165,33,,66,2,2891,9571,230,960,48,30,529,273,1208,439,3881,856,983,17,47,55,6,,5,,,1319958.67,385775.08
2022Q2,April - June 2022,2022Q2,,Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,6791.39,1890,2595,1,,115,44,465,484,173,196,238,,,,32,,371,573,61,58,717,1546,11,,,,1148,1826,,,3,,18,10,78,20,368,143,49,,,,,,,,,208129.78,47853.89
2022Q2,April - June 2022,2022Q2,,Kenya,Nakuru County,ob6SxuRcqU4,Nakuru County,KE_County_32,,76023.72,24184,65725,25,29,4037,2719,6333,9141,1852,1928,2547,,99,54,1176,,4313,8751,2413,1859,11051,27160,54,,118,40,7088,21292,109,213,78,43,1557,538,1696,416,6764,3051,2019,127,366,18,10,,52,,2.7,2333562.68,613274.8
2022Q2,April - June 2022,2022Q2,,Kenya,Kisii County,sPkRcDvhGWA,Kisii County,KE_County_45,,41362.68,8681,9901,36,19,2926,791,1527,1626,1489,1123,902,,144,129,331,,1076,892,435,301,2121,3423,9,,14,1,965,1156,56,81,109,14,424,98,1831,133,2932,1098,268,1,114,17,1,,108,,,1376596.5,324851
2022Q2,April - June 2022,2022Q2,,Kenya,Embu County,PFu8alU2KWG,Embu County,KE_County_14,,16278.4,2460,13259,,27,176,317,600,2135,69,80,117,,24,1,57,,662,3474,740,861,1062,9107,1,,26,,501,4631,14,80,45,8,200,71,71,27,1511,770,657,,106,22,,,3,,,651329.54,166847.88
2022Q2,April - June 2022,2022Q2,,Kenya,Tharaka Nithi County,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,12173.65,3993,14900,16,,353,426,1271,2708,320,241,775,,9,9,143,,910,2014,220,173,2236,11071,,,2,,2008,11780,18,,31,24,98,69,225,55,868,444,208,,20,34,,,18,,2.7,424153.93,107228.22
2022Q2,April - June 2022,2022Q2,,Kenya,West Pokot County,XWALbfAPa6n,West Pokot County,KE_County_24,,40212.83,3106,4716,22,11,515,300,731,1101,450,413,1190,,31,,2,,282,280,90,54,831,1583,342,,10,,1418,2513,1,3,29,2,83,3,213,54,906,160,66,6,19,,,,14,,8.03,705880.08,191302.88
2022Q2,April - June 2022,2022Q2,,Kenya,Kilifi County,nrI2khZx3d0,Kilifi County,KE_County_3,,56896.12,12514,29468,70,31,2954,2074,3174,7189,610,504,1516,,14,21,157,,2590,4206,737,558,5036,20026,30,,124,,4467,17148,102,276,72,30,407,57,1040,309,6057,2032,1427,29,417,9,,,21,,3.3,1608917.01,396119.74
2022Q2,April - June 2022,2022Q2,,Kenya,Elgeyo Marakwet County,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,17619.73,2903,6690,3,1,231,339,849,1703,540,448,1418,,15,2,62,,434,571,58,55,1331,4521,15,,18,,1448,5410,,,5,5,23,21,63,29,738,404,70,,27,,,,16,,2.95,501644.63,118214.13
2022Q2,April - June 2022,2022Q2,,Kenya,Siaya County,u4t9H8XyU9P,Siaya County,KE_County_41,,33269.85,8069,15941,21,15,1413,729,2228,3081,1301,1055,1729,,122,55,91,,551,583,300,224,3199,8390,5,,49,14,4440,9608,200,530,16,7,228,37,461,151,1553,899,685,23,224,7,1,,68,,1.7,1081565.81,223666.22
2022Q2,April - June 2022,2022Q2,,Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,32731.33,1413,522,7,5,75,50,153,73,1039,135,926,,,1,38,,516,288,367,132,164,64,,,7,1,696,274,10,18,54,,1,,475,8,190,19,6,,14,,,,,,3,956652.04,189213.61
2022Q2,April - June 2022,2022Q2,,Kenya,Homa Bay County,nK0A12Q7MvS,Homa Bay County,KE_County_43,,42441.72,13809,21568,138,50,4552,2286,2980,5001,4614,1718,1276,,47,44,143,66,1517,1961,387,397,4558,10845,53,,33,3,5321,12877,117,169,54,61,384,134,1385,276,4398,1662,815,45,309,100,4,,76,,4.1,1241196.46,295820.53
2022Q2,April - June 2022,2022Q2,,Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,37377.6,5669,15711,4,1,616,755,2027,4752,926,996,2002,,42,11,63,,1252,1761,533,554,2753,11736,29,,29,,3330,12869,66,65,42,18,97,81,558,286,1892,846,854,14,326,85,,,3,,,966710.48,229373.58
2022Q2,April - June 2022,2022Q2,,Kenya,Vihiga County,sANMZ3lpqGs,Vihiga County,KE_County_38,,19755.87,4962,10791,23,42,740,499,1563,2232,3958,147,594,,40,,46,,628,1004,368,458,2984,6780,,,159,,2068,6108,47,96,32,,140,26,1701,974,833,551,811,114,285,,,,8,,2.41,645821.63,151721.33
2022Q2,April - June 2022,2022Q2,,Kenya,Kajiado County,Hsk1YV8kHkT,Kajiado County,KE_County_34,,40741.38,8434,18482,15,4,570,627,2193,3644,1121,789,1245,,33,1,349,,1692,2484,587,640,3503,9082,2,,464,,4426,11149,38,97,42,45,422,99,183,75,1916,609,1545,8,531,40,,,12,,3.59,1223601.67,331992.43
2022Q2,April - June 2022,2022Q2,,Kenya,Kakamega County,BjC1xL40gHo,Kakamega County,KE_County_37,,67281.67,14058,48399,84,50,2178,2992,4492,12471,4816,5982,3577,,97,616,85,,1983,3740,267,273,6087,30661,2,,291,,5640,29038,72,348,140,44,313,167,1738,1349,4469,3338,2709,98,1078,15,13,,18,,2.38,2043061.57,488301.19
2022Q2,April - June 2022,2022Q2,,Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,35601.46,11117,39665,9,4,766,1192,3156,7262,1898,9022,901,,51,65,584,,3463,6349,889,1810,10278,26548,66,,6,3,4933,24782,166,451,33,8,178,37,210,111,917,480,858,74,65,105,,,11,,2,1518498.73,397752.27
2022Q2,April - June 2022,2022Q2,,Kenya,Kisumu County,tAbBVBbueqD,Kisumu County,KE_County_42,,43243.52,12349,22593,34,61,3502,1388,2459,4449,1202,1211,2425,,80,63,372,,2649,1449,859,770,6023,7201,8,,233,84,3828,12546,323,615,52,8,548,131,980,222,3129,1245,1348,31,180,16,3,,27,,3.3,1264005.97,318530.31
2022Q2,April - June 2022,2022Q2,,Kenya,Narok County,kqJ83J2D72s,Narok County,KE_County_33,,48508.1,14134,7341,31,5,1060,475,2106,1929,851,538,589,,16,23,140,,826,1014,338,191,3067,4348,7,,15,,1978,3449,,3,36,23,94,59,3282,965,987,333,253,10,116,4,,,6,,3.65,1290171.28,283729.66
2022Q2,April - June 2022,2022Q2,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,68058.54,26924,46528,9,4,1393,1239,6551,9174,5061,2313,978,,77,184,1783,4,6059,11344,4669,4214,16836,29083,10,,350,44,8056,18353,187,382,126,28,1386,607,631,291,4245,1977,3593,32,116,35,1,,81,,2.5,2602229.6,770900.94
2022Q2,April - June 2022,2022Q2,,Kenya,Wajir County,CeLsrJOH0g9,Wajir County,KE_County_8,,26495.41,2282,1092,,,58,18,221,146,464,146,875,,20,6,163,,375,236,259,101,964,323,3,,,,459,505,8,5,,,3,,25,2,156,9,16,,83,,,,,,2.2,848046.58,175126.2
2022Q2,April - June 2022,2022Q2,,Kenya,Taita Taveta County,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,9942.76,2054,10776,2,1,151,246,483,2104,234,506,511,,3,6,121,,359,988,109,104,718,7469,,,4,20,1345,7966,37,123,24,12,90,61,3,1,320,190,351,23,8,,,,,,,366973.59,89095.9
2023Q2,April - June 2023,2023Q2,,Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,25551.99,6922,34087,6,42,548,722,1754,6073,2999,1226,177,,7,13,283,,718,2603,398,315,3046,25857,1,,39,3,3096,26299,34,127,12,12,196,49,92,59,2696,2423,1243,38,271,152,,,53,,1.5,1073644.51,246935.46
2023Q2,April - June 2023,2023Q2,,Kenya,Kiambu County,qKzosKQPl6G,Kiambu County,KE_County_22,,69949.36,31201,52018,9,9,1772,1446,7527,9813,9093,9658,1288,,151,38,2298,,5734,10913,4971,4778,17063,31040,26,,280,,7728,20319,861,954,245,173,1376,556,3656,1134,2845,1489,4431,54,536,120,,,55,,2.55,2668329.51,790149.21
2023Q2,April - June 2023,2023Q2,,Kenya,Kitui County,j8o6iO4Njsi,Kitui County,KE_County_15,,36451.13,7487,26165,4,4,730,721,1710,7098,379,810,987,,13,2883,172,,1118,2049,619,441,2346,16367,,,18,,2178,15701,8,148,35,7,116,134,3103,1748,1605,1184,967,,170,151,,,28,,2,1265669.41,313001.46
2023Q2,April - June 2023,2023Q2,,Kenya,Nyamira County,uepLTG8wGWJ,Nyamira County,KE_County_46,,23162.54,10983,20628,35,22,2759,2108,2808,4211,2016,2192,540,,86,138,274,,1910,2420,1010,950,4239,11598,11,,75,,1779,6387,1373,2564,154,4,462,19,3221,1388,1912,908,954,9,571,78,7,,17,,2.1,681212.66,170304.41
2023Q2,April - June 2023,2023Q2,,Kenya,Nyandarua County,mYZacFNIB3h,Nyandarua County,KE_County_18,,17807.21,4545,12709,,3,329,332,1353,2642,644,221,47,,6,1,221,,203,443,553,408,2568,8164,1,,33,,1708,8130,64,90,20,13,326,195,1258,415,989,400,829,,65,156,,,3,,,698314.81,173250.34
2023Q2,April - June 2023,2023Q2,,Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,17243.76,1049,1438,1,,95,22,269,286,389,111,219,,106,4,11,,13,19,73,23,503,864,5,,,,595,1173,1,1,4,,12,,353,42,10,3,12,,18,,,,,,,520955.72,113870.03
