orgunitlevel1,orgunitlevel2,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Estimated Number of Pregnant Women 2020,Estimated Number of Pregnant Women 2018,Estimated Number of Pregnant Women 2024,Estimated Number of Pregnant Women 2021,Estimated Number of Pregnant Women 2023,Estimated Number of Pregnant Women 2019,Estimated Number of Pregnant Women 2022,Estimated Number of Pregnant Women 2025,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2018,Population Growth Rate 2024,Population Growth Rate 2023,Population Growth Rate 2019,Population Growth Rate 2022,Population Growth Rate 2025,Total Population 2021,Total Population 2024,Total Population 2023,Total Population 2019,Total Population 2025,Total Population 2022,Total Population 2020,Total Population 2018,Women of childbearing age (15–49yrs) 2019,Women of childbearing age (15–49yrs) 2022,Women of childbearing age (15–49yrs) 2025,Women of childbearing age (15–49yrs) 2020,Women of childbearing age (15–49yrs) 2018,Women of childbearing age (15–49yrs) 2024,Women of childbearing age (15–49yrs) 2021,Women of childbearing age (15–49yrs) 2023
Kenya,Kwale County,N7YETT3A9r1,Kwale County,KE_County_2,,34857,34097,40447,36124,38922,35398,37480,41894,,,3.13,3.8,3.6,2.9,,3.7,934287,1043471,1005711,905320,1082552,969359,900799,876529,208405,230002,256769,213892,201819,247500,221679,238462
Kenya,Laikipia County,xuFdFy6t9AH,Laikipia County,KE_County_31,,16957,18109,19135,17461,18558,17794,17996,19789,2.9,2.9,3.4,2.9,2.97,3,,2.95,553156,605534,587285,556565,624062,570108,537185,541985,133575,136771,149775,128873,130076,145327,132703,140948
Kenya,Lamu County,NjWSbQTwys4,Lamu County,KE_County_5,,4847,,5480,4996,5312,4710,6810,5630,,2.5,2.5,,,2.5,,,153088,168110,162945,141660,173440,208700,148523,137182,31873,47985,40617,33620,30866,38721,34653,37530
Kenya,Machakos County,yhCUgGcCcOo,Machakos County,KE_County_16,,34152,34023,37274,34905,36532,34854,35699,38046,2,2,2,2,2,2,2,2.08,1488770,1592881,1561756,1244012,1629201,1522659,1456609,1217438,294911,398842,426734,381541,294619,417223,389967,409045
Kenya,Makueni County,BoDytkJQ4Qi,Makueni County,KE_County_17,,23474,31325,26248,24031,25622,29742,24985,26994,1.2,1.16,1.44,2.3,1.5,1.37,1.2,2.3,1023000,1101473,1076586,985790,1126821,1053713,1003836,978932,228300,243688,259169,236176,225154.3,253333,239352,247612
Kenya,Mandera County,R6f9znhg37c,Mandera County,KE_County_9,,30809,48613,37621,31804,33916,34161,32821,38712,3,3,3,3,3,3,3,3,928959,1101553,991703,898598,1134629,959273,899943,1299958,215663,189732,256213,178033,292161,224035,183772,196171
Kenya,Marsabit County,Eey8fT4Im3y,Marsabit County,KE_County_10,,15757,13549,17847,16249,17291,13770,16770,18258,,,,,,,3,,490313,539203,522383,325960,556567,506087,475473,322567,74780,110709,121653,104014,77418,117859,107258,114182
Kenya,Meru County,Y52XNJ50hYb,Meru County,KE_County_12,,42381,46235,51030,48842,45648,44816,48586,48485,2.1,2.1,1.86,2.1,2.14,1.98,2.1,2.1,1628107,1756770,1713550,1520117,1803459,1670288,1588197,1501410,382516,425914,458740,405847.2,376027,450391,415166,437724
Kenya,Migori County,fVra3Pwta0Q,Migori County,KE_County_44,,47219,49246,55062,49028,53013,50341,51013,57285,2.65,,3.48,,,3.1,1.04,4,1204442,1352907,1301498,1143365,1406348,1252042,1159972,1119184,260247,292922,332224.6,274188,251199,319601,284700,303230
Kenya,Mombasa County,wsBsC6gjHvn,Mombasa County,KE_County_1,,38932,47079,43837,40076,42546,48395,41290,45164,,,2.35,,,,,,1284666,1404999,1363680,1307942,1447573,1323575,1248003,1266359,385843,386832,423093,364746,328050.57,410651,375462,398575
